Symbol,Name,Sector,Industry,Unlevered Data,Industry Cost of Capital,Industry Growth,Industry Reinvestment rate
A,Agilent Technologies,Heathcare Information and Technology,Life Sciences Tools & Services,1.187533948,0.089506087,0.196667069,0.313394555
AAPL,Apple Inc.,Computers/Peripherals,"Technology Hardware, Storage & Peripherals",1.100354381,0.087884328,0.023118148,0.092441187
ABBV,AbbVie,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,NA
ABNB,Airbnb,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.218100726
ABT,Abbott Laboratories,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.313394555
ACGL,Arch Capital Group,Insurance (Prop/Cas.),Property & Casualty Insurance,0.675207617,0.067158648,0.061676591,0.286622938
ACN,Accenture,Computer Services,IT Consulting & Other Services,0.858697507,0.074175635,0.109264737,0.237955886
ADBE,Adobe Inc.,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.363802314
ADI,Analog Devices,Semiconductor,Semiconductors,1.460244594,0.103622461,0.064411628,0.498632245
ADM,Archer Daniels Midland,Farming/Agriculture,Agricultural Products & Services,0.769213335,0.07061154,0.213838095,0.530120358
ADP,Automatic Data Processing,Business & Consumer Services,Human Resource & Employment Services,0.929642657,0.078564957,0.06692427,0.25446821
ADSK,Autodesk,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.363802314
AEP,American Electric Power,Utility (General),Electric Utilities,0.356795193,0.05094222,0.043405,1.505256971
AES,AES Corporation,Power,Independent Power Producers & Energy Traders,0.388506193,0.051896442,0.05328,1.734275577
AFL,Aflac,Insurance (Life),Life & Health Insurance,0.539831119,0.056806764,-0.000625,NA
AIG,American International Group,Insurance (General),Multi-line Insurance,0.894617816,0.076402666,0.077637273,0.378968752
AIZ,Assurant,Insurance (General),Multi-line Insurance,0.894617816,0.076402666,0.077637273,0.378968752
AJG,Arthur J. Gallagher & Co.,Insurance (General),Insurance Brokers,0.894617816,0.076402666,0.077637273,0.378968752
AKAM,Akamai Technologies,Information Services,Internet Services & Infrastructure,0.772382491,0.070185232,0.04717,-0.263140352
ALB,Albemarle Corporation,Chemical (Specialty),Specialty Chemicals,0.938135743,0.078101735,0.07331875,1.034849679
ALGN,Align Technology,R.E.I.T.,Health Care Supplies,0.660063542,0.06308888,0.083597195,-0.665138315
ALL,Allstate,Insurance (Prop/Cas.),Property & Casualty Insurance,0.675207617,0.067158648,0.061676591,0.286622938
ALLE,Allegion,Building Materials,Building Products,1.209047187,0.090005823,0.064077647,-0.007616654
AMAT,Applied Materials,Semiconductor Equip,Semiconductor Materials & Equipment,1.507765079,0.103967314,0.0992575,0.138811691
AMCR,Amcor,Paper/Forest Products,Paper & Plastic Packaging Products & Materials,1.590292567,0.103524732,0.038425,0.997029401
AMD,Advanced Micro Devices,Semiconductor,Semiconductors,1.460244594,0.103622461,0.064411628,0.498632245
AME,Ametek,Electrical Equipment,Electrical Components & Equipment,1.145843472,0.086066369,0.149078298,2.146399754
AMGN,Amgen,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,NA
AMP,Ameriprise Financial,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.546696832
AMT,American Tower,R.E.I.T.,Telecom Tower REITs,0.660063542,0.06308888,0.083597195,-0.665138315
AMTM,Amentum,Business & Consumer Services,#N/A,0.929642657,0.078564957,0.06692427,0.25446821
AMZN,Amazon,Retail (General),Broadline Retail,1.171062909,0.089282001,0.180630526,0.794478336
ANET,Arista Networks,Telecom. Equipment,Communications Equipment,1.045647985,0.083343683,0.09616449,0.366693841
ANSS,Ansys,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.363802314
AON,Aon,Insurance (General),Insurance Brokers,0.894617816,0.076402666,0.077637273,0.378968752
AOS,A. O. Smith,Building Materials,Building Products,1.209047187,0.090005823,0.064077647,-0.007616654
APA,APA Corporation,Oil/Gas (Production and Exploration),Oil & Gas Exploration & Production,0.821420497,0.073373141,0.232800588,0.503950489
APD,Air Products,Chemical (Specialty),Industrial Gases,0.938135743,0.078101735,0.07331875,1.034849679
APH,Amphenol,Electronics (General),Electronic Components,0.877205174,0.075361085,0.158239651,0.704316411
APTV,Aptiv,Auto Parts,Automotive Parts & Equipment,1.12110387,0.083289044,0.062846957,0.951833248
ARE,Alexandria Real Estate Equities,R.E.I.T.,Office REITs,0.660063542,0.06308888,0.083597195,-0.665138315
ATO,Atmos Energy,Utility (General),Gas Utilities,0.356795193,0.05094222,0.043405,1.505256971
AVB,AvalonBay Communities,R.E.I.T.,Multi-Family Residential REITs,0.660063542,0.06308888,0.083597195,-0.665138315
AVGO,Broadcom,Semiconductor,Semiconductors,1.460244594,0.103622461,0.064411628,0.498632245
AVY,Avery Dennison,Paper/Forest Products,Paper & Plastic Packaging Products & Materials,1.590292567,0.103524732,0.038425,0.997029401
AWK,American Water Works,Utility (Water),Water Utilities,0.522311472,0.060343308,0.108490909,1.495050964
AXON,Axon Enterprise,Aerospace/Defense,Aerospace & Defense,0.930853541,0.07813356,0.075882564,0.39247743
AXP,American Express,Financial Svcs. (Non-bank & Insurance),Consumer Finance,0.321978751,0.049871016,0.205013107,0.216758964
AZO,AutoZone,Retail (Automotive),Automotive Retail,1.058764305,0.082204588,0.174986364,0.713461168
BAC,Bank of America,Bank (Money Center),Diversified Banks,0.644005118,0.05081182,0.072753846,55.72877631
BALL,Ball Corporation,Packaging & Container,"Metal, Glass & Plastic Containers",0.806865861,0.070861023,0.034183889,0.679632036
BAX,Baxter International,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.313394555
BBY,Best Buy,Retail (Special Lines),Computer & Electronics Retail,0.973069218,0.078540155,0.120719677,0.552301562
BDX,Becton Dickinson,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.313394555
BEN,Franklin Resources,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.546696832
BF.B,Brown–Forman,Beverage (Alcoholic),Distillers & Vintners,0.970263352,0.080501131,0.120622222,0.908129686
BG,Bunge Global,Farming/Agriculture,Agricultural Products & Services,0.769213335,0.07061154,0.213838095,0.530120358
BIIB,Biogen,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,NA
BK,BNY Mellon,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.546696832
BKNG,Booking Holdings,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.218100726
BKR,Baker Hughes,Oilfield Svcs/Equip.,Oil & Gas Equipment & Services,0.852901738,0.072739439,0.077372121,0.154856727
BLDR,Builders FirstSource,Building Materials,Building Products,1.209047187,0.090005823,0.064077647,-0.007616654
BLK,BlackRock,Investments & Asset Management,Asset Management & Custody Banks,0.39129393,0.052337685,0.046036863,0.546696832
BMY,Bristol Myers Squibb,Drugs (Pharmaceutical),Pharmaceuticals,0.943997687,0.080456031,0.415376667,0.853926318
BR,Broadridge Financial Solutions,Information Services,Data Processing & Outsourced Services,0.772382491,0.070185232,0.04717,-0.263140352
